date,value,acc
2020-01-20,1,1
2020-01-21,0,1
2020-01-22,0,1
2020-01-23,0,1
2020-01-24,1,2
2020-01-25,0,2
2020-01-26,1,3
2020-01-27,1,4
2020-01-28,0,4
2020-01-29,0,4
2020-01-30,3,7
2020-01-31,4,11
2020-02-01,1,12
2020-02-02,3,15
2020-02-03,0,15
2020-02-04,1,16
2020-02-05,5,21
2020-02-06,3,24
2020-02-07,0,24
2020-02-08,0,24
2020-02-09,3,27
2020-02-10,1,28
2020-02-11,0,28
2020-02-12,0,28
2020-02-13,0,28
2020-02-14,0,28
2020-02-15,0,28
2020-02-16,2,30
2020-02-17,0,30
2020-02-18,2,32
2020-02-19,34,66
2020-02-20,16,82
2020-02-21,74,156
2020-02-22,190,346
2020-02-23,210,556
2020-02-24,207,763
2020-02-25,130,893
2020-02-26,253,1146
2020-02-27,449,1595
2020-02-28,427,2022
2020-02-29,909,2931
2020-03-01,595,3526
2020-03-02,686,4212
2020-03-03,600,4812
2020-03-04,516,5328
2020-03-05,438,5766
2020-03-06,518,6284
2020-03-07,483,6767
2020-03-08,367,7134
2020-03-09,248,7382
2020-03-10,131,7513
2020-03-11,242,7755
2020-03-12,114,7869
2020-03-13,110,7979
2020-03-14,107,8086
2020-03-15,76,8162
2020-03-16,74,8236
2020-03-17,84,8320
2020-03-18,93,8413
2020-03-19,152,8565
2020-03-20,87,8652
2020-03-21,147,8799
2020-03-22,98,8897
2020-03-23,64,8961
2020-03-24,76,9037
2020-03-25,100,9137
2020-03-26,104,9241
2020-03-27,91,9332
2020-03-28,146,9478
2020-03-29,105,9583
2020-03-30,78,9661
2020-03-31,125,9786
2020-04-01,101,9887
2020-04-02,89,9976
2020-04-03,86,10062
2020-04-04,94,10156
2020-04-05,81,10237
2020-04-06,47,10284
2020-04-07,47,10331
2020-04-08,53,10384
2020-04-09,39,10423
2020-04-10,27,10450
2020-04-11,30,10480
2020-04-12,32,10512
2020-04-13,25,10537
2020-04-14,27,10564
2020-04-15,27,10591
2020-04-16,22,10613
2020-04-17,22,10635
2020-04-18,18,10653
2020-04-19,8,10661
2020-04-20,13,10674
2020-04-21,9,10683
2020-04-22,11,10694
2020-04-23,8,10702
2020-04-24,6,10708
2020-04-25,10,10718
2020-04-26,10,10728
2020-04-27,10,10738
2020-04-28,14,10752
2020-04-29,9,10761
2020-04-30,4,10765
2020-05-01,9,10774
2020-05-02,6,10780
2020-05-03,13,10793
2020-05-04,8,10801
2020-05-05,3,10804
2020-05-06,2,10806
2020-05-07,4,10810
2020-05-08,12,10822
2020-05-09,18,10840
2020-05-10,34,10874
2020-05-11,35,10909
2020-05-12,27,10936
2020-05-13,26,10962
2020-05-14,29,10991
2020-05-15,27,11018
2020-05-16,19,11037
2020-05-17,13,11050
2020-05-18,15,11065
2020-05-19,13,11078
2020-05-20,32,11110
2020-05-21,12,11122
2020-05-22,20,11142
2020-05-23,23,11165
2020-05-24,25,11190
2020-05-25,16,11206
2020-05-26,19,11225
2020-05-27,40,11265
2020-05-28,79,11344
2020-05-29,58,11402
2020-05-30,39,11441
2020-05-31,27,11468
2020-06-01,35,11503
2020-06-02,38,11541
2020-06-03,49,11590
2020-06-04,39,11629
2020-06-05,39,11668
2020-06-06,51,11719
2020-06-07,57,11776
2020-06-08,37,11813
2020-06-09,38,11851
2020-06-10,50,11901
2020-06-11,45,11946
2020-06-12,56,12002
2020-06-13,48,12050
2020-06-14,34,12084
2020-06-15,37,12121
2020-06-16,34,12155
2020-06-17,43,12198
2020-06-18,59,12257
2020-06-19,49,12306
2020-06-20,67,12373
2020-06-21,48,12421
2020-06-22,17,12438
2020-06-23,46,12484
2020-06-24,51,12535
2020-06-25,28,12563
2020-06-26,39,12602
2020-06-27,51,12653
2020-06-28,62,12715
2020-06-29,42,12757
2020-06-30,42,12799
2020-07-01,51,12850
2020-07-02,54,12904
2020-07-03,61,12965
2020-07-04,63,13028
2020-07-05,61,13089
2020-07-06,48,13137
2020-07-07,44,13181
2020-07-08,62,13243
2020-07-09,50,13293
2020-07-10,45,13338
2020-07-11,35,13373
2020-07-12,44,13417
2020-07-13,62,13479
2020-07-14,33,13512
2020-07-15,39,13551
2020-07-16,61,13612
2020-07-17,60,13672
2020-07-18,39,13711
2020-07-19,34,13745
2020-07-20,26,13771
2020-07-21,45,13816
2020-07-22,63,13879
2020-07-23,59,13938
2020-07-24,41,13979
2020-07-25,113,14092
2020-07-26,58,14150
2020-07-27,25,14175
2020-07-28,28,14203
2020-07-29,48,14251
2020-07-30,18,14269
2020-07-31,36,14305
2020-08-01,31,14336
2020-08-02,30,14366
2020-08-03,23,14389
2020-08-04,34,14423
2020-08-05,33,14456
2020-08-06,43,14499
2020-08-07,20,14519
2020-08-08,43,14562
2020-08-09,36,14598
2020-08-10,28,14626
2020-08-11,34,14660
2020-08-12,54,14714
2020-08-13,56,14770
2020-08-14,103,14873
2020-08-15,166,15039
2020-08-16,279,15318
2020-08-17,197,15515
2020-08-18,246,15761
2020-08-19,297,16058
2020-08-20,288,16346
2020-08-21,324,16670
2020-08-22,332,17002
2020-08-23,396,17398
2020-08-24,266,17664
2020-08-25,280,17944
2020-08-26,320,18264
2020-08-27,441,18705
2020-08-28,371,19076
2020-08-29,323,19399
2020-08-30,299,19698
2020-08-31,248,19946
2020-09-01,235,20181
2020-09-02,267,20448
2020-09-03,195,20643
2020-09-04,198,20841
2020-09-05,168,21009
2020-09-06,167,21176
2020-09-07,119,21295
2020-09-08,136,21431
2020-09-09,156,21587
2020-09-10,155,21742
2020-09-11,176,21918
2020-09-12,136,22054
2020-09-13,121,22175
2020-09-14,109,22284
2020-09-15,106,22390
2020-09-16,113,22503
2020-09-17,153,22656
2020-09-18,126,22782
2020-09-19,110,22892
2020-09-20,82,22974
2020-09-21,70,23044
2020-09-22,61,23105
2020-09-23,110,23215
2020-09-24,125,23340
2020-09-25,114,23454
2020-09-26,61,23515
2020-09-27,95,23610
2020-09-28,50,23660
2020-09-29,38,23698
2020-09-30,113,23811
2020-10-01,77,23888
2020-10-02,63,23951
2020-10-03,75,24026
2020-10-04,64,24090
2020-10-05,73,24163
2020-10-06,75,24238
2020-10-07,114,24352
2020-10-08,69,24421
2020-10-09,54,24475
2020-10-10,72,24547
2020-10-11,58,24605
2020-10-12,98,24703
2020-10-13,91,24794
2020-10-14,84,24878
2020-10-15,110,24988
2020-10-16,47,25035
2020-10-17,73,25108
2020-10-18,91,25199
2020-10-19,76,25275
2020-10-20,58,25333
2020-10-21,89,25422
2020-10-22,121,25543
2020-10-23,155,25698
2020-10-24,77,25775
2020-10-25,61,25836
2020-10-26,119,25955
2020-10-27,88,26043
2020-10-28,103,26146
2020-10-29,125,26271
2020-10-30,113,26384
2020-10-31,127,26511
2020-11-01,124,26635
2020-11-02,97,26732
2020-11-03,75,26807
2020-11-04,117,26924
2020-11-05,125,27049
2020-11-06,145,27194
2020-11-07,89,27283
2020-11-08,143,27426
2020-11-09,126,27552
2020-11-10,100,27652
2020-11-11,145,27797
2020-11-12,143,27940
2020-11-13,191,28131
2020-11-14,205,28336
2020-11-15,208,28544
2020-11-16,222,28766
2020-11-17,230,28996
2020-11-18,285,29281
2020-11-19,325,29606
2020-11-20,348,29954
2020-11-21,386,30340
2020-11-22,330,30670
2020-11-23,271,30941
2020-11-24,349,31290
2020-11-25,382,31672
2020-11-26,581,32253
2020-11-27,555,32808
2020-11-28,503,33311
2020-11-29,450,33761
2020-11-30,438,34199
2020-12-01,451,34650
2020-12-02,511,35161
2020-12-03,540,35701
2020-12-04,628,36329
2020-12-05,577,36906
2020-12-06,631,37537
2020-12-07,615,38152
2020-12-08,587,38739
2020-12-09,670,39409
2020-12-10,680,40089
2020-12-11,689,40778
2020-12-12,950,41728
2020-12-13,1030,42758
2020-12-14,718,43476
2020-12-15,880,44356
2020-12-16,1078,45434
2020-12-17,1014,46448
2020-12-18,1064,47512
2020-12-19,1045,48557
2020-12-20,1096,49653
2020-12-21,924,50577
2020-12-22,866,51443
2020-12-23,1090,52533
2020-12-24,985,53518
2020-12-25,1240,54758
2020-12-26,1131,55889
2020-12-27,970,56859
2020-12-28,806,57665
2020-12-29,1044,58709
2020-12-30,1050,59759
2020-12-31,967,60726
2021-01-01,1027,61753
2021-01-02,820,62573
2021-01-03,657,63230
2021-01-04,1020,64250
2021-01-05,714,64964
2021-01-06,838,65802
2021-01-07,869,66671
2021-01-08,674,67345
2021-01-09,641,67986
2021-01-10,657,68643
2021-01-11,451,69094
2021-01-12,537,69631
2021-01-13,561,70192
2021-01-14,524,70716
2021-01-15,512,71228
2021-01-16,580,71808
2021-01-17,520,72328
2021-01-18,389,72717
2021-01-19,386,73103
2021-01-20,404,73507
2021-01-21,400,73907
2021-01-22,346,74253
2021-01-23,431,74684
2021-01-24,392,75076
2021-01-25,437,75513
2021-01-26,349,75862
2021-01-27,559,76421
2021-01-28,497,76918
2021-01-29,469,77387
2021-01-30,456,77843
2021-01-31,354,78197
2021-02-01,305,78502
2021-02-02,336,78838
2021-02-03,467,79305
2021-02-04,451,79756
2021-02-05,370,80126
2021-02-06,390,80516
2021-02-07,371,80887
2021-02-08,288,81175
2021-02-09,303,81478
2021-02-10,444,81922
2021-02-11,504,82426
2021-02-12,403,82829
2021-02-13,362,83191
2021-02-14,326,83517
2021-02-15,343,83860
2021-02-16,457,84317
2021-02-17,621,84938
2021-02-18,621,85559
2021-02-19,561,86120
2021-02-20,448,86568
2021-02-21,416,86984
2021-02-22,332,87316
2021-02-23,356,87672
2021-02-24,440,88112
2021-02-25,395,88507
2021-02-26,387,88894
2021-02-27,415,89309
2021-02-28,355,89664
2021-03-01,355,90019
2021-03-02,344,90363
2021-03-03,444,90807
2021-03-04,424,91231
2021-03-05,398,91629
2021-03-06,418,92047
2021-03-07,416,92463
2021-03-08,346,92809
2021-03-09,446,93255
2021-03-10,470,93725
2021-03-11,465,94190
2021-03-12,488,94678
2021-03-13,490,95168
2021-03-14,459,95627
2021-03-15,379,96006
2021-03-16,363,96369
2021-03-17,469,96838
2021-03-18,445,97283
2021-03-19,463,97746
2021-03-20,447,98193
2021-03-21,456,98649
2021-03-22,415,99064
2021-03-23,346,99410
2021-03-24,428,99838
2021-03-25,430,100268
2021-03-26,489,100757
2021-03-27,505,101262
2021-03-28,482,101744
2021-03-29,382,102126
2021-03-30,447,102573
2021-03-31,506,103079
2021-04-01,551,103630
2021-04-02,557,104187
2021-04-03,543,104730
2021-04-04,543,105273
2021-04-05,473,105746
2021-04-06,477,106223
2021-04-07,668,106891
2021-04-08,700,107591
2021-04-09,671,108262
2021-04-10,677,108939
2021-04-11,614,109553
2021-04-12,587,110140
2021-04-13,542,110682
2021-04-14,731,111413
2021-04-15,698,112111
2021-04-16,673,112784
2021-04-17,658,113442
2021-04-18,671,114113
2021-04-19,532,114645
2021-04-20,549,115194
2021-04-21,731,115925
2021-04-22,735,116660
2021-04-23,797,117457
2021-04-24,785,118242
2021-04-25,644,118886
2021-04-26,499,119385
2021-04-27,512,119897
2021-04-28,769,120666
2021-04-29,679,121345
2021-04-30,661,122006
2021-05-01,627,122633
2021-05-02,606,123239
2021-05-03,488,123727
2021-05-04,541,124268
2021-05-05,676,124944
2021-05-06,574,125518
2021-05-07,525,126043
2021-05-08,701,126744
2021-05-09,564,127308
2021-05-10,463,127771
2021-05-11,510,128281
2021-05-12,634,128915
2021-05-13,715,129630
2021-05-14,747,130377
2021-05-15,681,131058
2021-05-16,610,131668
2021-05-17,619,132287
2021-05-18,528,132815
